reactions
CADVtpp
DMSOR1
DMSOR2
FRD2
FRD3
HYD1pp
HYD2pp
HYD3pp
NO2t2rpp
NTRIR2x
PFL
RNTR1c
RNTR2c
RNTR3c
RNTR4c
TMAOR1
TMAOR2
RNTR1c2
RNTR2c2
RNTR3c2
RNTR4c2
