bNum	Gene	Rule
b0002	thrA	(NOT (thr-L(e) > 0 OR ile-L(e) > 0))
b0003	thrB	(NOT (thr-L(e) > 0 OR ile-L(e) > 0))
b0004	thrC	(NOT (thr-L(e) > 0 OR ile-L(e) > 0))
b0007	yaaJ
b0008	talB
b0019	nhaA	((NhaR) OR (RpoS))
b0020	nhaR	(na1(e) > 0)
b0025	ribF
b0029	lytB
b0031	dapB	(NOT lys-L(e) > 0)
b0032	carA	(NOT ArgR)
b0036	caiD	(Crp AND CaiF)
b0038	caiB	(Crp AND CaiF)
b0040	caiT	(Crp AND CaiF)
b0048	folA
b0049	apaH
b0052	pdxA	(RpoE)
b0061	araD	(AraC OR (AraC AND Crp))
b0062	araA	(AraC OR (AraC AND Crp))
b0063	araB	(AraC OR (AraC AND Crp))
b0064	araC	(arab-L(e) > 0)
b0066	sfuC
b0067	sfuB
b0071	leuD	(NOT(leu-L(e) > 0) OR Lrp)
b0072	leuC	(NOT(leu-L(e) > 0) OR Lrp)
b0073	leuB	(NOT(leu-L(e) > 0) OR Lrp)
b0074	leuA	(NOT(leu-L(e) > 0) OR Lrp)
b0077	ilvI	(Lrp AND NOT (leu-L(e) > 0))
b0078	ilvH	(Lrp AND NOT (leu-L(e) > 0))
b0085	murE
b0086	murF
b0087	mraY
b0088	murD
b0090	murG
b0091	murC
b0092	ddlB
b0096	lpxC
b0099	mutT
b0104	guaC	(NOT ((gln-L(e) > 0) OR (gua(e) > 0)))
b0109	nadC
b0112	aroP	(NOT (TyrR AND ((phe-L(e)>0) OR (tyr-L(e)>0) OR (trp-L(e)>0))))
b0120	speD
b0121	speE
b0124	gcd	(NOT Crp)
b0125	hpt	(Crp)
b0131	panD
b0134	panB
b0142	folK
b0154	hemL
b0158	yadT
b0159	mtn
b0160	dgt
b0162	sdaR	((glcr(e)>0) OR (galct-D(e)>0))
b0166	dapD
b0167	glnD	(Lrp)
b0171	pyrH
b0173	dxr
b0174	uppS
b0175	cdsA
b0179	lpxD
b0180	fabZ	(NOT(Stringent) OR CpxR OR RpoE OR FadR2)
b0181	lpxA
b0182	lpxB
b0185	accA
b0186	ldcC
b0197	yaeC	(NOT MetJ)
b0198	yaeE	(NOT MetJ)
b0199	abc	(NOT MetJ)
b0200	yaeD
b0212	gloB
b0222	gmhA
b0238	gpt
b0243	proA
b0273	argF	(NOT ArgR)
b0312	betB	(NOT (ArcA OR BetI))
b0323	yahI
b0331	prpB	(ppa(e)>0)
b0333	prpC	(ppa(e)>0)
b0334	prpD	(ppa(e)>0)
b0335	prpE	(ppa(e)>0)
b0337	codA	(NOT (PurR) OR NRI_hi)
b0338	cynR	(cynt(e)>0)
b0339	cynT
b0340	cynS	(CynR)
b0341	cynX	(cynt(e)>0)
b0343	lacY	(CRP_noGLC AND NOT(LacI))
b0344	lacZ	(CRP_noGLC AND NOT(LacI))
b0345	lacI	( NOT ( lcts(e)>0 ) )
b0346	mhpR	(hpppn(e)>0)
b0347	mhpA	(MhpR)
b0348	mhpB	(MhpR)
b0349	mhpC	(MhpR)
b0350	mhpD	(MhpR)
b0351	mhpF	(MhpR)
b0352	mhpE	(MhpR)
b0353	mhpT
b0356	adhC
b0365	tauA	(Cbl AND CysB)
b0366	tauB	(Cbl AND CysB)
b0367	tauC	(Cbl AND CysB)
b0368	tauD	(Cbl AND CysB)
b0369	hemB
b0381	ddlA
b0386	proC
b0388	aroL	(NOT( (TyrR AND (tyr-L(e)>0)) OR (TyrR AND (tyr-L(e)>0) AND TrpR) ))
b0399	phoB	(PhoR)
b0400	phoR	(pi(e)<0.004E-6 M)
b0403	malZ	(MalT)
b0414	ribD
b0415	ribH
b0417	thiL
b0418	pgpA
b0420	dxs
b0421	ispA
b0423	thiI
b0425	panE
b0428	cyoE	(NOT (ArcA OR Fnr))
b0451	amtB
b0469	apt
b0474	adk
b0475	hemH
b0477	gsk
b0480	ushA
b0485	ybaS
b0504	ybbS	(NOT(o2(e)>0) AND NOT AllR AND NOT (nh4(e)>0))
b0505	allA	(NOT AllR)
b0506	allR	(OFF)
b0507	gcl	(NOT AllR)
b0508	hyi
b0509	glxR	(NOT AllR)
b0511	allP
b0512	allB	(NOT AllR)
b0514	glxK	(NOT AllR)
b0516	allC	(AllS)
b0521	arcC
b0522	purK	(NOT (PurR))
b0523	purE	(NOT (PurR))
b0529	folD
b0576	pheP
b0583	entD	(NOT (Fur))
b0586	entF
b0593	entC	(NOT (Fur))
b0594	entE	(NOT (Fur))
b0596	entA	(NOT (Fur))
b0612	citT	(CitB AND (NOT (o2(e) > 0)))
b0615	citF	(CitB)
b0616	citE	(CitB)
b0617	citD	(CitB)
b0619	dpiB	(cit(e)>0)
b0620	dpiA	(CitA)
b0638	phpB
b0639	nadD
b0652	gltL	(NOT (glc-D(e) > 0))
b0654	gltJ	(NOT (glc-D(e) > 0))
b0655	gltI	(NOT (glc-D(e) > 0))
b0662	ubiF
b0674	asnB
b0676	nagC	(NOT((acgam(e) > 0) OR AGDC>0))
b0677	nagA	(NOT (NagC))
b0678	nagB	(NOT (NagC) OR (gam(e)>0))
b0679	nagE	(NOT (NagC))
