substrate,gene1,gene2,gene3,gene1_name,gene2_name,gene3_name,ko_type,wt_growth
2-DeoxyAdenosine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8327
2-DeoxyAdenosine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8327
N-Acetyl-D-Glucosamine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8297
N-Acetyl-D-Glucosamine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8297
N-Acetyl-D-Glucosamine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8297
N-Acetyl-D-Glucosamine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8297
N-Acetyl-D-Glucosamine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8297
N-Acetyl-D-Glucosamine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8297
N-Acetyl-D-Glucosamine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8297
Uridine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.6435
Uridine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.6435
Uridine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.6435
Uridine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.6435
Uridine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.6435
Uridine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.6435
Uridine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.6435
D-Mannose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8091
D-Mannose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8091
D-Mannose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8091
D-Mannose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8091
D-Mannose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8091
D-Mannose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8091
D-Mannose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8091
D-Fructose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8091
D-Fructose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8091
D-Fructose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8091
D-Fructose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8091
D-Fructose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8091
D-Fructose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8091
D-Fructose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8091
Glucose-1-Phosphate,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8091
Glucose-1-Phosphate,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8091
Glucose-1-Phosphate,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8091
Glucose-1-Phosphate,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8091
Glucose-1-Phosphate,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8091
Glucose-1-Phosphate,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8091
Glucose-1-Phosphate,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8091
D-Sorbitol,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8191
D-Sorbitol,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8191
D-Sorbitol,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8191
D-Sorbitol,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8191
D-Sorbitol,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8191
D-Sorbitol,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8191
D-Sorbitol,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8191
D-Mannitol,b2703,b2933,b3599,srlE,cmtA,mtlA,triple,0.8191
D-Mannitol,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.8191
D-Mannitol,b2702,b2934,b3599,srlA,cmtB,mtlA,triple,0.8191
D-Mannitol,b0763,b2425,b3917,modA,cysP,sbp,triple,0.8191
D-Mannitol,b0765,b2425,b3917,modC,cysP,sbp,triple,0.8191
D-Mannitol,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.8191
D-Mannitol,b2704,b2933,b3599,srlB,cmtA,mtlA,triple,0.8191
D-Mannitol,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.8191
D-Mannitol,b2703,b2934,b3599,srlE,cmtB,mtlA,triple,0.8191
D-Mannitol,b2704,b2934,b3599,srlB,cmtB,mtlA,triple,0.8191
D-Mannitol,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.8191
D-Mannitol,b0764,b2425,b3917,modB,cysP,sbp,triple,0.8191
D-Mannitol,b2702,b2933,b3599,srlA,cmtA,mtlA,triple,0.8191
D-Galactose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.7892
D-Galactose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.7892
D-Galactose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.7892
D-Galactose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.7892
D-Galactose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.7892
D-Galactose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.7892
D-Galactose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.7892
D-Gluconic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.7698
D-Gluconic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.7698
D-Gluconic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.7698
D-Gluconic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.7698
D-Gluconic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.7698
D-Gluconic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.7698
D-Gluconic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.7698
5-Keto-D-Gluconate,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.7235
5-Keto-D-Gluconate,b0763,b2425,b3917,modA,cysP,sbp,triple,0.7235
5-Keto-D-Gluconate,b0765,b2425,b3917,modC,cysP,sbp,triple,0.7235
5-Keto-D-Gluconate,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.7235
5-Keto-D-Gluconate,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.7235
5-Keto-D-Gluconate,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.7235
5-Keto-D-Gluconate,b0764,b2425,b3917,modB,cysP,sbp,triple,0.7235
Thymidine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.753
Thymidine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.753
Thymidine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.753
Thymidine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.753
Thymidine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.753
Thymidine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.753
Thymidine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.753
D-Xylose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.7112
D-Xylose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.7112
D-Xylose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.7112
D-Xylose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.7112
D-Xylose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.7112
D-Xylose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.7112
D-Xylose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.7112
L-Arabinose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.7112
L-Arabinose,b0061,b3583,b4198,araD,sgbE,ulaF,triple,0.7112
L-Arabinose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.7112
L-Arabinose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.7112
L-Arabinose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.7112
L-Arabinose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.7112
L-Arabinose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.7112
L-Arabinose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.7112
beta-D-Allose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.7295
beta-D-Allose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.7295
beta-D-Allose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.7295
beta-D-Allose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.7295
beta-D-Allose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.7295
beta-D-Allose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.7295
beta-D-Allose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.7295
D-Galactonic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.7121
D-Galactonic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.7121
D-Galactonic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.7121
D-Galactonic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.7121
D-Galactonic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.7121
D-Galactonic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.7121
D-Galactonic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.7121
L-Galactonic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.7121
L-Galactonic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.7121
L-Galactonic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.7121
L-Galactonic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.7121
L-Galactonic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.7121
L-Galactonic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.7121
L-Galactonic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.7121
D-Glucuronic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.6986
D-Glucuronic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.6986
D-Glucuronic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.6986
D-Glucuronic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.6986
D-Glucuronic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.6986
D-Glucuronic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.6986
D-Glucuronic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.6986
D-Ribose,b3749,b4088,b4230,rbsA,alsB,ytfT,triple,0.6698
D-Ribose,b3751,b4086,b4231,rbsB,alsC,yjfF,triple,0.6698
D-Ribose,b3751,b4087,b4230,rbsB,alsA,ytfT,triple,0.6698
D-Ribose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.6698
D-Ribose,b3748,b4088,b4230,rbsD,alsB,ytfT,triple,0.6698
D-Ribose,b3749,b4088,b4485,rbsA,alsB,ytfR,triple,0.6698
D-Ribose,b3750,b4088,b4230,rbsC,alsB,ytfT,triple,0.6698
D-Ribose,b3751,b4087,b4485,rbsB,alsA,ytfR,triple,0.6698
D-Ribose,b3750,b4087,b4227,rbsC,alsA,ytfQ,triple,0.6698
D-Ribose,b3748,b4087,b4231,rbsD,alsA,yjfF,triple,0.6698
D-Ribose,b3748,b4088,b4485,rbsD,alsB,ytfR,triple,0.6698
D-Ribose,b3750,b4088,b4485,rbsC,alsB,ytfR,triple,0.6698
D-Ribose,b3749,b4086,b4231,rbsA,alsC,yjfF,triple,0.6698
D-Ribose,b3751,b4086,b4227,rbsB,alsC,ytfQ,triple,0.6698
D-Ribose,b3748,b4086,b4231,rbsD,alsC,yjfF,triple,0.6698
D-Ribose,b3750,b4087,b4230,rbsC,alsA,ytfT,triple,0.6698
D-Ribose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.6698
D-Ribose,b3750,b4087,b4485,rbsC,alsA,ytfR,triple,0.6698
D-Ribose,b3749,b4086,b4227,rbsA,alsC,ytfQ,triple,0.6698
D-Ribose,b3751,b4086,b4230,rbsB,alsC,ytfT,triple,0.6698
D-Ribose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.6698
D-Ribose,b3748,b4086,b4227,rbsD,alsC,ytfQ,triple,0.6698
D-Ribose,b3751,b4088,b4231,rbsB,alsB,yjfF,triple,0.6698
D-Ribose,b3751,b4086,b4485,rbsB,alsC,ytfR,triple,0.6698
D-Ribose,b3749,b4087,b4231,rbsA,alsA,yjfF,triple,0.6698
D-Ribose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.6698
D-Ribose,b3748,b4086,b4230,rbsD,alsC,ytfT,triple,0.6698
D-Ribose,b3750,b4086,b4231,rbsC,alsC,yjfF,triple,0.6698
D-Ribose,b3751,b4087,b4231,rbsB,alsA,yjfF,triple,0.6698
D-Ribose,b3748,b4088,b4231,rbsD,alsB,yjfF,triple,0.6698
D-Ribose,b3748,b4086,b4485,rbsD,alsC,ytfR,triple,0.6698
D-Ribose,b3749,b4087,b4227,rbsA,alsA,ytfQ,triple,0.6698
D-Ribose,b3748,b4087,b4227,rbsD,alsA,ytfQ,triple,0.6698
D-Ribose,b3750,b4086,b4227,rbsC,alsC,ytfQ,triple,0.6698
D-Ribose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.6698
D-Ribose,b3750,b4087,b4231,rbsC,alsA,yjfF,triple,0.6698
D-Ribose,b3749,b4087,b4230,rbsA,alsA,ytfT,triple,0.6698
D-Ribose,b3748,b4087,b4230,rbsD,alsA,ytfT,triple,0.6698
D-Ribose,b3749,b4087,b4485,rbsA,alsA,ytfR,triple,0.6698
D-Ribose,b3750,b4086,b4230,rbsC,alsC,ytfT,triple,0.6698
D-Ribose,b3749,b4086,b4230,rbsA,alsC,ytfT,triple,0.6698
D-Ribose,b3748,b4087,b4485,rbsD,alsA,ytfR,triple,0.6698
D-Ribose,b3750,b4086,b4485,rbsC,alsC,ytfR,triple,0.6698
D-Ribose,b3749,b4088,b4231,rbsA,alsB,yjfF,triple,0.6698
D-Ribose,b3749,b4086,b4485,rbsA,alsC,ytfR,triple,0.6698
D-Ribose,b3751,b4088,b4227,rbsB,alsB,ytfQ,triple,0.6698
D-Ribose,b3750,b4088,b4231,rbsC,alsB,yjfF,triple,0.6698
D-Ribose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.6698
D-Ribose,b3749,b4088,b4227,rbsA,alsB,ytfQ,triple,0.6698
D-Ribose,b3751,b4088,b4230,rbsB,alsB,ytfT,triple,0.6698
D-Ribose,b3751,b4087,b4227,rbsB,alsA,ytfQ,triple,0.6698
D-Ribose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.6698
D-Ribose,b3748,b4088,b4227,rbsD,alsB,ytfQ,triple,0.6698
D-Ribose,b3751,b4088,b4485,rbsB,alsB,ytfR,triple,0.6698
D-Ribose,b3750,b4088,b4227,rbsC,alsB,ytfQ,triple,0.6698
L-Rhamnose,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.6455
L-Rhamnose,b0763,b2425,b3917,modA,cysP,sbp,triple,0.6455
L-Rhamnose,b0765,b2425,b3917,modC,cysP,sbp,triple,0.6455
L-Rhamnose,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.6455
L-Rhamnose,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.6455
L-Rhamnose,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.6455
L-Rhamnose,b0764,b2425,b3917,modB,cysP,sbp,triple,0.6455
