substrate,gene1,gene2,gene3,gene1_name,gene2_name,gene3_name,ko_type,wt_growth
D-Alanine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.3699
D-Alanine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.3699
D-Alanine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.3699
D-Alanine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.3699
D-Alanine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.3699
D-Malic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.3697
D-Malic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.3697
D-Malic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.3697
D-Malic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.3697
D-Malic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.3697
D-Malic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.3697
D-Malic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.3697
L-Lactic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.3419
L-Lactic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.3419
L-Lactic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.3419
L-Lactic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.3419
L-Lactic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.3419
L-Lactic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.3419
L-Lactic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.3419
D-Serine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.3087
D-Serine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.3087
D-Serine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.3087
D-Serine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.3087
D-Serine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.3087
D-Serine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.3087
D-Serine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.3087
L-Serine,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.3087
L-Serine,b0763,b2425,b3917,modA,cysP,sbp,triple,0.3087
L-Serine,b0765,b2425,b3917,modC,cysP,sbp,triple,0.3087
L-Serine,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.3087
L-Serine,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.3087
L-Serine,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.3087
L-Serine,b0764,b2425,b3917,modB,cysP,sbp,triple,0.3087
Pyruvic Acid,b0475,b1019,b2431,hemH,efeB,yfeX,triple,0.3046
Pyruvic Acid,b0763,b2425,b3917,modA,cysP,sbp,triple,0.3046
Pyruvic Acid,b0765,b2425,b3917,modC,cysP,sbp,triple,0.3046
Pyruvic Acid,b2502,b2744,b4226,ppx,umpG,ppa,triple,0.3046
Pyruvic Acid,b0841,b1278,b3057,ybjG,pgpB,bacA,triple,0.3046
Pyruvic Acid,b0754,b1704,b2601,aroG,aroH,aroF,triple,0.3046
Pyruvic Acid,b0764,b2425,b3917,modB,cysP,sbp,triple,0.3046
