substrate,ko_gene1,ko_gene2,ko_type,ko_reaction,rescue_reaction,rescue_rxn_name,match_key,match_type,rescue_source,rescue_layer,rescue_gene_rule,rescued_biomass,wt_biomass,pct_rescue,n_rescue_variants,n_ko_reactions
Lactose,b2465,b2935,double,TKT1; TKT2,MNXR55953; MNXR69977; MNXR74900; MNXR79510; MNXR84331; TKT1; TKT1h; TKT2; TKT2h,Transketolase; kegg:R01067; rhea:27626; rhea:10508; kegg:R06863; seed:rxn01200; Transketolase 1; Transketolase 2,ec:2.2.1.1,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,1,b2935 or b2465,0.80457,0.80914,99.4,9,2
Lactose,b2508,b2868,double,IMPD,6TINS5MPOR; IMPDm; MNXR3100; MNXR75334,"kegg:R08240; rhea:11708; IMP dehydrogenase, mitochondria; 6-thioinosine 5'-monophosphate:NAD oxidoreductase",ec:1.1.1.205,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.80914,0.80914,100.0,4,1
Lactose,b2508,b2868,double,HXAND,MNXR3054; MNXR5348; XAND; XANDp,"Xanthine dehydrogenase; rhea:24670; rhea:16669; Xanthine dehydrogenase, peroxisomal",ec:1.17.1.4,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,1,b2866 and b2867 and b2868,0.80409,0.80914,99.4,4,1
Lactose,b2551,b4388,double,PSP_L,PSP_L_1,Phosphoserine phosphatase (L-serine),bigg:PSP_L,bigg,universal_model,2,,0.78727,0.80914,97.3,1,1
Lactose,b2551,b2913,double,PGCD,MNXR4184; PGLYDH,rhea:12641; Phosphoglycerate dehydrogenase,ec:1.1.1.95,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.78727,0.80914,97.3,2,1
Lactose,b2551,b4388,double,PSP_L,MNXR4485; MNXR4486; PSP; PSP_D; PSP_Lpp,Phospho-L-serine phosphatase (periplasmic); rhea:24873; rhea:21208; Phosphoserine phosphatase  D serine ; Phosphoserine phosphatase,ec:3.1.3.3,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,1,b4055 or b0383,0.78727,0.80914,97.3,5,1
Lactose,b2551,b2913,double,GHMT2r,GHMT2rm; MNXR2619,rhea:15481; Glycine hydroxymethyltransferase  reversible  mitochondrial,ec:2.1.2.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.77442,0.80914,95.7,2,1
Lactose,b2708,b3197,double,A5PISO,MNXR300; MNXR91991,metacyc:DARAB5PISOM-RXN; rhea:23104,ec:5.3.1.13,ec,metanetx_universal_model_bigg_rhea_kegg_brenda,2,,0.80914,0.80914,100.0,2,1
Lactose,b2926,b3732,double,ATPS4rpp,ATPS4rpp_1,ATP synthase (four protons for one ATP) (periplasm),bigg:ATPS4rpp,bigg,universal_model,2,,0.49911,0.80914,61.7,1,1
Lactose,b2926,b3732,double,ATPS4rpp,ATPPHm; ATPS; ATPS3g; ATPS3m; ATPS3v; ATPS4m; ATPS4m_cho; ATPS4r; ATPSh; ATPasel; NTP1,"Nucleoside-triphosphatase (ATP); ATP synthase (four protons for one ATP); ATP synthase  mitochondrial; V-type ATPase, H+ transporting, lysosomal; ATP phosphohydrolase, mitochondria; ATPase  cytosolic; ATP synthase  Golgi Apparatus; ATP synthase  vacuole; ATP synthase",ec:3.6.3.14,ec,iJR904; iML1515; universal_model,1,b0650 or b4161,0.49911,0.80914,61.7,11,1
Lactose,b2926,b3732,double,PGK,MNXR4189; PGKf; PGKh; PGKm,"rhea:14801; Phosphoglycerate kinase, mitochondrial; Phosphoglycerate kinase, flagellar; Phosphoglycerate kinase, chloroplast",ec:2.7.2.3,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.27162,0.80914,33.6,4,1
Lactose,b3117,b3772,double,THRD_L,THRD_L_1,L-threonine deaminase,bigg:THRD_L,bigg,universal_model,2,,0.80914,0.80914,100.0,1,1
Lactose,b3117,b3772,double,THRD_L,MNXR5058; MNXR84302; SERD_L; SER_AL; TAL; THRAL; THRD_Lm,L-serine deaminase; seed:rxn00737; rhea:22108; L threonine deaminase  mitochondrial; L-serine ammonia-lyase; Threonine ammonia-lyase (serine); Threonine ammonia-lyase,ec:4.3.1.19,ec,iML1515; metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,1,b4471 or b1814 or b2797 or b3708 or b3117,0.80914,0.80914,100.0,7,1
