substrate,gene1,gene2,gene1_name,gene2_name,ko_type,wt_growth
Lactose,b2235,b4238,nrdB,nrdD,double,0.8091
Lactose,b1090,b4041,plsX,plsB,double,0.8091
Lactose,b1761,b3212,gdhA,gltB,double,0.8091
Lactose,b2234,b4238,nrdA,nrdD,double,0.8091
Lactose,b1779,b3735,gapA,atpH,double,0.8091
Lactose,b3059,b4041,plsY,plsB,double,0.8091
Lactose,b0674,b3744,asnB,asnA,double,0.8091
Lactose,b0765,b2424,modC,cysU,double,0.8091
Lactose,b0844,b3812,ybjI,yigB,double,0.8091
Lactose,b0078,b3671,ilvH,ilvB,double,0.8091
Lactose,b1378,b3924,pfo,fpr,double,0.8091
Lactose,b0870,b2320,ltaE,pdxB,double,0.8091
Lactose,b2551,b4388,glyA,serB,double,0.8091
Lactose,b2926,b3733,pgk,atpG,double,0.8091
Lactose,b0452,b0954,tesB,fabA,double,0.8091
Lactose,b2708,b3197,srlQ,kdsD,double,0.8091
Lactose,b2582,b3781,trxC,trxA,double,0.8091
D-Melibiose,b0388,b3390,aroL,aroK,double,1.0861
D-Melibiose,b0765,b2422,modC,cysA,double,1.0861
D-Melibiose,b0928,b4054,aspC,tyrB,double,1.0861
D-Melibiose,b3117,b3772,tdcB,ilvA,double,1.0861
D-Melibiose,b2508,b2868,guaB,xdhC,double,1.0861
D-Melibiose,b0048,b1606,folA,folM,double,1.0861
D-Melibiose,b1779,b3738,gapA,atpB,double,1.0861
D-Melibiose,b2926,b3732,pgk,atpD,double,1.0861
D-Melibiose,b0764,b2423,modB,cysW,double,1.0861
D-Melibiose,b2414,b2421,cysK,cysM,double,1.0861
D-Melibiose,b1692,b3281,ydiB,aroE,double,1.0861
D-Melibiose,b2926,b3734,pgk,atpA,double,1.0861
D-Melibiose,b0155,b1592,clcA,clcB,double,1.0861
D-Melibiose,b2465,b2935,tktB,tktA,double,1.0861
D-Melibiose,b1779,b3731,gapA,atpC,double,1.0861
D-Melibiose,b0907,b2551,serC,glyA,double,1.0861
D-Melibiose,b1779,b3736,gapA,atpF,double,1.0861
D-Melibiose,b0870,b0907,ltaE,serC,double,1.0861
D-Melibiose,b1779,b3737,gapA,atpE,double,1.0861
D-Melibiose,b1702,b2779,ppsA,eno,double,1.0861
D-Melibiose,b0126,b0339,can,cynT,double,1.0861
D-Melibiose,b2926,b3738,pgk,atpB,double,1.0861
D-Melibiose,b1779,b3732,gapA,atpD,double,1.0861
D-Melibiose,b0684,b2895,fldA,fldB,double,1.0861
D-Melibiose,b0954,b2836,fabA,aas,double,1.0861
D-Melibiose,b0149,b3396,mrcB,mrcA,double,1.0861
D-Melibiose,b0099,b1865,mutT,nudB,double,1.0861
D-Melibiose,b1622,b3008,malY,metC,double,1.0861
D-Melibiose,b2508,b2867,guaB,xdhB,double,1.0861
D-Melibiose,b0032,b0521,carA,ybcF,double,1.0861
D-Melibiose,b1779,b3733,gapA,atpG,double,1.0861
D-Melibiose,b3829,b4019,metE,metH,double,1.0861
D-Melibiose,b2551,b2913,glyA,serA,double,1.0861
D-Melibiose,b0954,b3846,fabA,fadB,double,1.0861
D-Melibiose,b2508,b2866,guaB,xdhA,double,1.0861
D-Melibiose,b2029,b3386,gnd,rpe,double,1.0861
D-Melibiose,b0763,b2422,modA,cysA,double,1.0861
D-Melibiose,b0870,b2551,ltaE,glyA,double,1.0861
D-Melibiose,b0767,b4025,pgl,pgi,double,1.0861
D-Melibiose,b0073,b1800,leuB,dmlA,double,1.0861
D-Melibiose,b0002,b3940,thrA,metL,double,1.0861
D-Melibiose,b0238,b2508,gpt,guaB,double,1.0861
