substrate,gene1,gene2,gene1_name,gene2_name,ko_type,wt_growth
D-Trehalose,b0870,b0907,ltaE,serC,double,1.1071
D-Trehalose,b1779,b3737,gapA,atpE,double,1.1071
D-Trehalose,b1702,b2779,ppsA,eno,double,1.1071
D-Trehalose,b0126,b0339,can,cynT,double,1.1071
D-Trehalose,b1779,b3732,gapA,atpD,double,1.1071
D-Trehalose,b0684,b2895,fldA,fldB,double,1.1071
D-Trehalose,b2926,b3738,pgk,atpB,double,1.1071
D-Trehalose,b2708,b3197,srlQ,kdsD,double,1.1071
D-Trehalose,b0954,b2836,fabA,aas,double,1.1071
D-Trehalose,b0149,b3396,mrcB,mrcA,double,1.1071
D-Trehalose,b0099,b1865,mutT,nudB,double,1.1071
D-Trehalose,b1622,b3008,malY,metC,double,1.1071
D-Trehalose,b2508,b2867,guaB,xdhB,double,1.1071
D-Trehalose,b0032,b0521,carA,ybcF,double,1.1071
D-Trehalose,b1779,b3733,gapA,atpG,double,1.1071
D-Trehalose,b3829,b4019,metE,metH,double,1.1071
D-Trehalose,b2551,b2913,glyA,serA,double,1.1071
D-Trehalose,b0954,b3846,fabA,fadB,double,1.1071
D-Trehalose,b2508,b2866,guaB,xdhA,double,1.1071
D-Trehalose,b2029,b3386,gnd,rpe,double,1.1071
D-Trehalose,b0763,b2422,modA,cysA,double,1.1071
D-Trehalose,b0870,b2551,ltaE,glyA,double,1.1071
D-Trehalose,b0767,b4025,pgl,pgi,double,1.1071
D-Trehalose,b0002,b3940,thrA,metL,double,1.1071
D-Trehalose,b0238,b2508,gpt,guaB,double,1.1071
D-Trehalose,b0073,b1800,leuB,dmlA,double,1.1071
D-Trehalose,b2926,b3735,pgk,atpH,double,1.1071
D-Trehalose,b0077,b3671,ilvI,ilvB,double,1.1071
D-Trehalose,b0171,b0910,pyrH,cmk,double,1.1071
D-Trehalose,b1190,b4053,dadX,alr,double,1.1071
D-Trehalose,b0118,b1276,acnB,acnA,double,1.1071
D-Trehalose,b0764,b2422,modB,cysA,double,1.1071
D-Trehalose,b1852,b3386,zwf,rpe,double,1.1071
D-Trehalose,b0763,b2424,modA,cysU,double,1.1071
D-Trehalose,b1702,b1779,ppsA,gapA,double,1.1071
D-Trehalose,b1761,b3213,gdhA,gltD,double,1.1071
D-Trehalose,b0033,b0521,carB,ybcF,double,1.1071
D-Trehalose,b0092,b0381,ddlB,ddlA,double,1.1071
D-Trehalose,b1096,b4039,pabC,ubiC,double,1.1071
D-Trehalose,b0764,b2424,modB,cysU,double,1.1071
D-Trehalose,b0273,b4254,argF,argI,double,1.1071
D-Trehalose,b0763,b2423,modA,cysW,double,1.1071
D-Trehalose,b2926,b3737,pgk,atpE,double,1.1071
D-Trehalose,b0765,b2423,modC,cysW,double,1.1071
D-Trehalose,b2926,b3736,pgk,atpF,double,1.1071
D-Trehalose,b2926,b3731,pgk,atpC,double,1.1071
D-Trehalose,b1779,b3734,gapA,atpA,double,1.1071
D-Trehalose,b1849,b2500,purT,purN,double,1.1071
D-Trehalose,b2029,b4025,gnd,pgi,double,1.1071
D-Trehalose,b0767,b3386,pgl,rpe,double,1.1071
D-Trehalose,b0078,b3670,ilvH,ilvN,double,1.1071
D-Trehalose,b1702,b2926,ppsA,pgk,double,1.1071
D-Trehalose,b2436,b3867,hemF,hemN,double,1.1071
D-Trehalose,b0077,b3670,ilvI,ilvN,double,1.1071
D-Trehalose,b2235,b4238,nrdB,nrdD,double,1.1071
D-Trehalose,b1090,b4041,plsX,plsB,double,1.1071
D-Trehalose,b1852,b4025,zwf,pgi,double,1.1071
D-Trehalose,b1761,b3212,gdhA,gltB,double,1.1071
D-Trehalose,b2234,b4238,nrdA,nrdD,double,1.1071
D-Trehalose,b1779,b3735,gapA,atpH,double,1.1071
D-Trehalose,b3059,b4041,plsY,plsB,double,1.1071
D-Trehalose,b0674,b3744,asnB,asnA,double,1.1071
D-Trehalose,b0765,b2424,modC,cysU,double,1.1071
D-Trehalose,b0844,b3812,ybjI,yigB,double,1.1071
D-Trehalose,b0078,b3671,ilvH,ilvB,double,1.1071
D-Trehalose,b1378,b3924,pfo,fpr,double,1.1071
D-Trehalose,b0870,b2320,ltaE,pdxB,double,1.1071
D-Trehalose,b2926,b3733,pgk,atpG,double,1.1071
D-Trehalose,b2551,b4388,glyA,serB,double,1.1071
D-Trehalose,b0452,b0954,tesB,fabA,double,1.1071
D-Trehalose,b1692,b3281,ydiB,aroE,double,1.1071
D-Trehalose,b2582,b3781,trxC,trxA,double,1.1071
Maltose,b0388,b3390,aroL,aroK,double,1.1071
Maltose,b0765,b2422,modC,cysA,double,1.1071
Maltose,b0928,b4054,aspC,tyrB,double,1.1071
Maltose,b3117,b3772,tdcB,ilvA,double,1.1071
Maltose,b2508,b2868,guaB,xdhC,double,1.1071
Maltose,b0048,b1606,folA,folM,double,1.1071
Maltose,b1779,b3738,gapA,atpB,double,1.1071
Maltose,b2926,b3732,pgk,atpD,double,1.1071
Maltose,b0764,b2423,modB,cysW,double,1.1071
Maltose,b2414,b2421,cysK,cysM,double,1.1071
Maltose,b1692,b3281,ydiB,aroE,double,1.1071
Maltose,b2926,b3734,pgk,atpA,double,1.1071
Maltose,b0155,b1592,clcA,clcB,double,1.1071
Maltose,b2465,b2935,tktB,tktA,double,1.1071
Maltose,b1779,b3731,gapA,atpC,double,1.1071
Maltose,b0907,b2551,serC,glyA,double,1.1071
Maltose,b1779,b3736,gapA,atpF,double,1.1071
Maltose,b0870,b0907,ltaE,serC,double,1.1071
Maltose,b1779,b3737,gapA,atpE,double,1.1071
Maltose,b1702,b2779,ppsA,eno,double,1.1071
Maltose,b0684,b2895,fldA,fldB,double,1.1071
Maltose,b2926,b3738,pgk,atpB,double,1.1071
Maltose,b0126,b0339,can,cynT,double,1.1071
Maltose,b1779,b3732,gapA,atpD,double,1.1071
Maltose,b0403,b3417,malZ,malP,double,1.1071
Maltose,b0954,b2836,fabA,aas,double,1.1071
Maltose,b0149,b3396,mrcB,mrcA,double,1.1071
Maltose,b0099,b1865,mutT,nudB,double,1.1071
Maltose,b1622,b3008,malY,metC,double,1.1071
Maltose,b2508,b2867,guaB,xdhB,double,1.1071
Maltose,b0032,b0521,carA,ybcF,double,1.1071
Maltose,b1779,b3733,gapA,atpG,double,1.1071
Maltose,b3829,b4019,metE,metH,double,1.1071
Maltose,b2551,b2913,glyA,serA,double,1.1071
Maltose,b0954,b3846,fabA,fadB,double,1.1071
Maltose,b2508,b2866,guaB,xdhA,double,1.1071
Maltose,b2029,b3386,gnd,rpe,double,1.1071
Maltose,b0763,b2422,modA,cysA,double,1.1071
Maltose,b0870,b2551,ltaE,glyA,double,1.1071
Maltose,b0767,b4025,pgl,pgi,double,1.1071
Maltose,b0073,b1800,leuB,dmlA,double,1.1071
Maltose,b0002,b3940,thrA,metL,double,1.1071
Maltose,b0238,b2508,gpt,guaB,double,1.1071
Maltose,b2926,b3735,pgk,atpH,double,1.1071
Maltose,b0077,b3671,ilvI,ilvB,double,1.1071
Maltose,b0171,b0910,pyrH,cmk,double,1.1071
Maltose,b1190,b4053,dadX,alr,double,1.1071
Maltose,b0118,b1276,acnB,acnA,double,1.1071
Maltose,b0764,b2422,modB,cysA,double,1.1071
Maltose,b1852,b3386,zwf,rpe,double,1.1071
Maltose,b0763,b2424,modA,cysU,double,1.1071
Maltose,b1761,b3213,gdhA,gltD,double,1.1071
Maltose,b1702,b1779,ppsA,gapA,double,1.1071
Maltose,b0033,b0521,carB,ybcF,double,1.1071
Maltose,b0092,b0381,ddlB,ddlA,double,1.1071
Maltose,b1096,b4039,pabC,ubiC,double,1.1071
Maltose,b0764,b2424,modB,cysU,double,1.1071
Maltose,b0273,b4254,argF,argI,double,1.1071
Maltose,b0763,b2423,modA,cysW,double,1.1071
Maltose,b2926,b3737,pgk,atpE,double,1.1071
Maltose,b0765,b2423,modC,cysW,double,1.1071
Maltose,b2926,b3736,pgk,atpF,double,1.1071
Maltose,b2926,b3731,pgk,atpC,double,1.1071
Maltose,b1779,b3734,gapA,atpA,double,1.1071
Maltose,b1849,b2500,purT,purN,double,1.1071
Maltose,b2029,b4025,gnd,pgi,double,1.1071
Maltose,b0767,b3386,pgl,rpe,double,1.1071
Maltose,b0078,b3670,ilvH,ilvN,double,1.1071
Maltose,b1702,b2926,ppsA,pgk,double,1.1071
Maltose,b2436,b3867,hemF,hemN,double,1.1071
Maltose,b0077,b3670,ilvI,ilvN,double,1.1071
Maltose,b2235,b4238,nrdB,nrdD,double,1.1071
Maltose,b1090,b4041,plsX,plsB,double,1.1071
Maltose,b1852,b4025,zwf,pgi,double,1.1071
Maltose,b1761,b3212,gdhA,gltB,double,1.1071
Maltose,b2234,b4238,nrdA,nrdD,double,1.1071
Maltose,b1779,b3735,gapA,atpH,double,1.1071
Maltose,b3059,b4041,plsY,plsB,double,1.1071
Maltose,b0674,b3744,asnB,asnA,double,1.1071
Maltose,b0765,b2424,modC,cysU,double,1.1071
Maltose,b0844,b3812,ybjI,yigB,double,1.1071
Maltose,b0078,b3671,ilvH,ilvB,double,1.1071
Maltose,b1378,b3924,pfo,fpr,double,1.1071
Maltose,b0870,b2320,ltaE,pdxB,double,1.1071
Maltose,b2551,b4388,glyA,serB,double,1.1071
Maltose,b2926,b3733,pgk,atpG,double,1.1071
Maltose,b0452,b0954,tesB,fabA,double,1.1071
Maltose,b2708,b3197,srlQ,kdsD,double,1.1071
Maltose,b2582,b3781,trxC,trxA,double,1.1071
Lactose,b0388,b3390,aroL,aroK,double,0.8091
Lactose,b0765,b2422,modC,cysA,double,0.8091
Lactose,b0928,b4054,aspC,tyrB,double,0.8091
Lactose,b3117,b3772,tdcB,ilvA,double,0.8091
Lactose,b2508,b2868,guaB,xdhC,double,0.8091
Lactose,b0048,b1606,folA,folM,double,0.8091
Lactose,b1779,b3738,gapA,atpB,double,0.8091
Lactose,b2926,b3732,pgk,atpD,double,0.8091
Lactose,b0764,b2423,modB,cysW,double,0.8091
Lactose,b2414,b2421,cysK,cysM,double,0.8091
Lactose,b1692,b3281,ydiB,aroE,double,0.8091
Lactose,b2926,b3734,pgk,atpA,double,0.8091
Lactose,b0155,b1592,clcA,clcB,double,0.8091
Lactose,b2465,b2935,tktB,tktA,double,0.8091
Lactose,b1779,b3731,gapA,atpC,double,0.8091
Lactose,b0907,b2551,serC,glyA,double,0.8091
Lactose,b1779,b3736,gapA,atpF,double,0.8091
Lactose,b0870,b0907,ltaE,serC,double,0.8091
Lactose,b1779,b3737,gapA,atpE,double,0.8091
Lactose,b1702,b2779,ppsA,eno,double,0.8091
Lactose,b0684,b2895,fldA,fldB,double,0.8091
Lactose,b2926,b3738,pgk,atpB,double,0.8091
Lactose,b0126,b0339,can,cynT,double,0.8091
Lactose,b1779,b3732,gapA,atpD,double,0.8091
Lactose,b0954,b2836,fabA,aas,double,0.8091
Lactose,b0149,b3396,mrcB,mrcA,double,0.8091
Lactose,b0099,b1865,mutT,nudB,double,0.8091
Lactose,b1622,b3008,malY,metC,double,0.8091
Lactose,b2508,b2867,guaB,xdhB,double,0.8091
Lactose,b0032,b0521,carA,ybcF,double,0.8091
Lactose,b1779,b3733,gapA,atpG,double,0.8091
Lactose,b3829,b4019,metE,metH,double,0.8091
Lactose,b2551,b2913,glyA,serA,double,0.8091
Lactose,b0954,b3846,fabA,fadB,double,0.8091
Lactose,b2508,b2866,guaB,xdhA,double,0.8091
Lactose,b2029,b3386,gnd,rpe,double,0.8091
Lactose,b0763,b2422,modA,cysA,double,0.8091
Lactose,b0870,b2551,ltaE,glyA,double,0.8091
Lactose,b0073,b1800,leuB,dmlA,double,0.8091
Lactose,b0002,b3940,thrA,metL,double,0.8091
Lactose,b0238,b2508,gpt,guaB,double,0.8091
Lactose,b2926,b3735,pgk,atpH,double,0.8091
Lactose,b0077,b3671,ilvI,ilvB,double,0.8091
Lactose,b0171,b0910,pyrH,cmk,double,0.8091
Lactose,b1190,b4053,dadX,alr,double,0.8091
Lactose,b0118,b1276,acnB,acnA,double,0.8091
Lactose,b0764,b2422,modB,cysA,double,0.8091
Lactose,b0763,b2424,modA,cysU,double,0.8091
Lactose,b1761,b3213,gdhA,gltD,double,0.8091
Lactose,b1702,b1779,ppsA,gapA,double,0.8091
Lactose,b0033,b0521,carB,ybcF,double,0.8091
Lactose,b0092,b0381,ddlB,ddlA,double,0.8091
Lactose,b1096,b4039,pabC,ubiC,double,0.8091
Lactose,b0764,b2424,modB,cysU,double,0.8091
Lactose,b0273,b4254,argF,argI,double,0.8091
Lactose,b0763,b2423,modA,cysW,double,0.8091
Lactose,b2926,b3737,pgk,atpE,double,0.8091
Lactose,b0765,b2423,modC,cysW,double,0.8091
Lactose,b2926,b3736,pgk,atpF,double,0.8091
Lactose,b2926,b3731,pgk,atpC,double,0.8091
Lactose,b1779,b3734,gapA,atpA,double,0.8091
Lactose,b1849,b2500,purT,purN,double,0.8091
Lactose,b2029,b4025,gnd,pgi,double,0.8091
Lactose,b0078,b3670,ilvH,ilvN,double,0.8091
Lactose,b1702,b2926,ppsA,pgk,double,0.8091
Lactose,b2436,b3867,hemF,hemN,double,0.8091
Lactose,b0077,b3670,ilvI,ilvN,double,0.8091
