reaction_id,reaction_name,subsystem,gpr,off_in_n,conditions,off_genes,wt_flux,aerobic_glucose,anaerobic_glucose,aerobic_glucose_acetate,aerobic_glucose_lactose
FUCtpp,L-fucose transport via proton symport (periplasm),Transport / Ion channels,b2801,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2801,0.0,1,1,1,1
FUMt2_2pp,Fumarate transport via proton symport (2 H) (periplasm),Transport / Ion channels,b3528,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3528,0.0,1,1,1,1
G6PDA,Glucosamine-6-phosphate deaminase,Amino acid catabolism,b0678,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0678,0.0,1,1,1,1
G6Pt6_2pp,Glucose-6-phosphate transport via phosphate antiport (periplasm),Transport / Ion channels,b3666,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3666,0.0,1,1,1,1
GALCTD,Galactarate dehydratase,Other metabolism,b3128,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3128,0.0,1,1,1,1
GALCTLO,L-galactonate oxidoreductase,Oxidative phosphorylation,b4358,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4358,0.0,1,1,1,1
GALCTND,Galactonate dehydratase,Sugar catabolism,b4478,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4478,0.0,1,1,1,1
GALCTNt2pp,D-galactonate transport via proton symport (periplasm),Transport / Ion channels,b3691,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3691,0.0,1,1,1,1
GALKr,Galactokinase,Other metabolism,b0757,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0757,0.0,1,1,1,1
GALM2pp,Aldose-1-epimerase,Other metabolism,b0756,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0756,0.0,1,1,1,1
GALS3,A-galactosidase (melibiose),Other metabolism,b4119,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4119,0.0,1,1,1,1
GAM6Pt6_2pp,D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm),Transport / Ion channels,b3666,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3666,0.0,1,1,1,1
GGGABAH,Gamma-glutamyl-gamma-aminobutyric acid hydrolase,Other metabolism,b1298,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1298,0.0,1,1,1,1
GGPTRCO,Gamma glutamyl putrescine oxidase,Oxidative phosphorylation,b1301,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1301,0.0,1,1,1,1
GHBDHx,Gamma-hydroxybutyrate dehydrogenase (NADH),Other metabolism,b3882,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3882,0.0,1,1,1,1
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,Other metabolism,b3126,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3126,0.0,1,1,1,1
GLCtex_copy1,Glucose transport via diffusion (extracellular to periplasm),Transport / Ion channels,b4036,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4036,10.0,1,1,1,1
GLTPD,Galactitol-1-phosphate dehydrogenase,Inorganic ion metabolism,b2091,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2091,0.0,1,1,1,1
GLUNpp,Glutaminase,Other metabolism,b2957,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2957,0.0,1,1,1,1
GLUt4pp,Na+/glutamate symport (periplasm),Transport / Ion channels,b3653,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3653,0.0,1,1,1,1
GLYAT,Glycine C-acetyltransferase,Amino acid biosynthesis,b3617,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3617,0.0,1,1,1,1
GLYC3Pt6pp,Glycerol-3-phosphate : phosphate antiporter (periplasm),Transport / Ion channels,b2240,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2240,0.0,1,1,1,1
GLYCK2,Glycerate kinase,Other metabolism,b3124,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3124,0.0,1,1,1,1
GLYCLTt4pp,Glycolate transport via sodium symport (periplasm),Transport / Ion channels,b4067,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4067,0.0,1,1,1,1
GLYK,Glycerol kinase,Other metabolism,b3926,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3926,0.0,1,1,1,1
GLYOX3,Glyoxalase III,Other metabolism,b1967,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1967,0.0,1,1,1,1
GPDDA1,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),Other metabolism,b3449,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3449,0.0,1,1,1,1
GPDDA1pp,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),Other metabolism,b2239,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2239,0.0,1,1,1,1
GPDDA2,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),Other metabolism,b3449,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3449,0.0,1,1,1,1
GPDDA2pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),Other metabolism,b2239,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2239,0.0,1,1,1,1
GPDDA3,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),Amino acid biosynthesis,b3449,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3449,0.0,1,1,1,1
GPDDA3pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),Amino acid biosynthesis,b2239,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2239,0.0,1,1,1,1
GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),Other metabolism,b3449,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3449,0.0,1,1,1,1
GPDDA4pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),Other metabolism,b2239,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2239,0.0,1,1,1,1
GPDDA5,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),Other metabolism,b3449,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3449,0.0,1,1,1,1
GPDDA5pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),Other metabolism,b2239,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2239,0.0,1,1,1,1
GTHOr,Glutathione oxidoreductase,Oxidative phosphorylation,b3500,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3500,0.0,1,1,1,1
GTPDPK,GTP diphosphokinase,Other metabolism,b2784,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2784,0.0,1,1,1,1
HDCAtexi,Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),Transport / Ion channels,b2344,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2344,0.0,1,1,1,1
HDCEAtexi,Hexadecenoate transport via facilitated irreversible diffusion (extracellular to periplasm),Transport / Ion channels,b2344,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2344,0.0,1,1,1,1
HEXt2rpp,"Hexanoate transport via proton symport, reversible (periplasm)",Transport / Ion channels,b2223,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2223,0.0,1,1,1,1
HKNDDH,"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",Other metabolism,b0349,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0349,0.0,1,1,1,1
HKNTDH,2-hydroxy-6-ketononotrienedioate hydrolase,Other metabolism,b0349,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0349,0.0,1,1,1,1
HOPNTAL,4-hydroxy-2-oxopentanoate aldolase,Other metabolism,b0352,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0352,0.0,1,1,1,1
HPPPNDO,"2,3-dihydroxypheylpropionate 1,2-dioxygenase",Other metabolism,b0348,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0348,0.0,1,1,1,1
I4FE4SR,ISC [4Fe-4S] Reduction,Other metabolism,b2529,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2529,0.00018,1,1,1,1
ICHORS_copy1,Isochorismate synthase,Other metabolism,b0593,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0593,0.0,1,1,1,1
ICHORT,Isochorismatase,Other metabolism,b0595,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0595,0.0,1,1,1,1
ICL,Isocitrate lyase,Amino acid catabolism,b4015,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4015,0.0,1,1,1,1
IDOND,L-idonate 5-dehydrogenase,Other metabolism,b4267,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4267,0.0,1,1,1,1
IDOND2,L-indonate 5-dehydrogenase (NADP),Other metabolism,b4267,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4267,0.0,1,1,1,1
IDONt2rpp,"L-idonate transport via proton symport, reversible (periplasm)",Transport / Ion channels,b4265,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4265,0.0,1,1,1,1
LA4NTpp,"4-amino-4-deoxy-L-arabinotransferase (LPS lipid A modification, periplasmic face of membrane))",Transport / Ion channels,b2257,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2257,0.0,1,1,1,1
LACZ,B-galactosidase,Other metabolism,b0344,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0344,0.0,1,1,1,1
LADGMDH,L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase,Other metabolism,b1326,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1326,0.0,1,1,1,1
LALGP,L-alanyl-gamma-L-glutamate peptidase,Other metabolism,b0237,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0237,0.0,1,1,1,1
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",Oxidative phosphorylation,b2799,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2799,0.0,1,1,1,1
LCTStpp,Lactose transport via proton symport (periplasm),Transport / Ion channels,b0343,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0343,0.0,1,1,1,1
LDGUNPD,Linear diguanylate phosphodiesterase,Nucleotide metabolism,b1285,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1285,0.0,1,1,1,1
LYXI,Lyxose isomerase,Other metabolism,b3903,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3903,0.0,1,1,1,1
LYXt2pp,L-Lyxose transport via proton symport (periplasm),Transport / Ion channels,b3907,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3907,0.0,1,1,1,1
M1PD,Mannitol-1-phosphate 5-dehydrogenase,Sugar catabolism,b3600,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3600,0.0,1,1,1,1
MALDt2_2pp,D-Malate transport via proton symport (2 H) (periplasm),Transport / Ion channels,b3528,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3528,0.0,1,1,1,1
MALTHXtexi,Maltohexaose transport via diffusion (extracellular to periplasm) irreversible,Transport / Ion channels,b4036,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4036,0.0,1,1,1,1
MALTPTtexi,MaltopentaoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible,Transport / Ion channels,b4036,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4036,0.0,1,1,1,1
MALTTRtexi,Maltotriose transport via diffusion (extracellular to periplasm) irreversible,Transport / Ion channels,b4036,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4036,0.0,1,1,1,1
MALTTTRtexi,MaltotetraoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible,Transport / Ion channels,b4036,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4036,0.0,1,1,1,1
MALTtexi,MaltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible,Transport / Ion channels,b4036,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4036,0.0,1,1,1,1
MALt2_2pp,Malate transport via proton symport (2 H) (periplasm),Transport / Ion channels,b3528,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3528,0.0,1,1,1,1
MAN6Pt6_2pp,Mannose-6-phosphate transport via phosphate antiport (periplasm),Transport / Ion channels,b3666,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3666,0.0,1,1,1,1
MANAO,Mannonate oxidoreductase,Oxidative phosphorylation,b4323,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4323,0.0,1,1,1,1
MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,Inorganic ion metabolism,b0732,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0732,0.0,1,1,1,1
MC6PH,Monoacetylchitobiose-6-phosphate hydrolase,Inorganic ion metabolism,b1734,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1734,0.0,1,1,1,1
MCITD,2-methylcitrate dehydratase,TCA cycle,b0334,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0334,0.0,1,1,1,1
MCITL2,Methylisocitrate lyase,Amino acid catabolism,b0331,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0331,0.0,1,1,1,1
MCITS,2-methylcitrate synthase,TCA cycle,b0333,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0333,0.0,1,1,1,1
MG2uabcpp,"Magnesium (Mg+2) ABC transporter (ubtake, periplasm)",Transport / Ion channels,b4242,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4242,0.0,1,1,1,1
MLTG1,Maltodextrin glucosidase (maltotriose),Other metabolism,b0403,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0403,0.0,1,1,1,1
MLTG2,Maltodextrin glucosidase (maltotetraose),Other metabolism,b0403,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0403,0.0,1,1,1,1
MLTG3,Maltodextrin glucosidase (maltopentaose),Other metabolism,b0403,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0403,0.0,1,1,1,1
MLTG4,Maltodextrin glucosidase (maltohexaose),Other metabolism,b0403,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0403,0.0,1,1,1,1
MLTG5,Maltodextrin glucosidase (maltoheptaose),Glyoxylate / Acetate,b0403,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0403,0.0,1,1,1,1
MLTP1,Maltodextrin phosphorylase (maltopentaose),Other metabolism,b3417,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3417,0.0,1,1,1,1
MLTP2,Maltodextrin phosphorylase (maltohexaose),Other metabolism,b3417,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3417,0.0,1,1,1,1
MLTP3,Maltodextrin phosphorylase (maltoheptaose),Glyoxylate / Acetate,b3417,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3417,0.0,1,1,1,1
MNNH,D-mannonate hydrolyase,Amino acid catabolism,b4322,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4322,0.0,1,1,1,1
MNt2pp,Manganese (Mn+2) transport in via proton symport (periplasm),Transport / Ion channels,b2392,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2392,0.0,1,1,1,1
MOCOS,Molybdenum cofactor synthase,Other metabolism,b0827,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0827,0.0,1,1,1,1
MPTSS,Molybdopterin synthase sulfurylase,Cofactor biosynthesis,b0826,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0826,0.0,1,1,1,1
NAMNPP,Nicotinic acid mononucleotide pyrophosphorylase,Nucleotide metabolism,b0931,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0931,0.0,1,1,1,1
NAt3_2pp,Sodium proton antiporter (H:NA is 2) (periplasm),Transport / Ion channels,b0019,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0019,0.0,1,1,1,1
NNDMBRT,Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase,Nucleotide metabolism,b1991,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1991,0.0,1,1,1,1
NTP3pp,Nucleoside-triphosphatase (GTP) (periplasm),Nucleotide metabolism,b0980,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0980,0.0,1,1,1,1
NTP5,Nucleoside-triphosphatase (CTP),Nucleotide metabolism,b4161,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4161,0.0,1,1,1,1
OCDCAtexi,Octadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm),Transport / Ion channels,b2344,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2344,0.0,1,1,1,1
OCDCEAtexi,Octadecenoate (n-C18:1) transport via facilitated irreversible diffusion (extracellular to periplasm),Transport / Ion channels,b2344,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2344,0.0,1,1,1,1
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,Other metabolism,b2232,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2232,-0.0,1,1,1,1
OP4ENH,2-oxopent-4-enoate hydratase,Other metabolism,b0350,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0350,0.0,1,1,1,1
OROTt2_2pp,Orotate transport via proton symport (2 H) (periplasm),Transport / Ion channels,b3528,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3528,0.0,1,1,1,1
OXCDC,Oxalyl-CoA decarboxylase,Amino acid catabolism,b2373,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2373,0.0,1,1,1,1
P5CD,1-pyrroline-5-carboxylate dehydrogenase,Other metabolism,b1014,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1014,0.0,1,1,1,1
PAI2T,"3-hydroxy-2,4-pentadione 5-phosphate thiolase",Inorganic ion metabolism,b1517,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1517,0.00031,1,1,1,1
PEAMNOpp,Phenethylamine oxidase,Oxidative phosphorylation,b1386,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1386,0.0,1,1,1,1
PHYTSpp,Phytase (periplasm),Other metabolism,b0980,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0980,0.0,1,1,1,1
POAACR,Peroxyaminoacrylate reductase,Oxidative phosphorylation,b1010,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1010,0.0,1,1,1,1
POX,Pyruvate oxidase,Oxidative phosphorylation,b0871,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0871,0.0,1,1,1,1
PPAt4pp,Na+/Propionate symporter (periplasm),Transport / Ion channels,b1015,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1015,0.0,1,1,1,1
PPM,Phosphopentomutase,Other metabolism,b4383,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4383,-0.64617,1,1,1,1
PPM2,Phosphopentomutase 2 (deoxyribose),Nucleotide metabolism,b4383,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4383,0.0,1,1,1,1
PPTHpp,Phosphonate hydrogenase (periplasm),Other metabolism,b0383,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0383,0.0,1,1,1,1
PRCPD,"5-phospho-?-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",Inorganic ion metabolism,b4092,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4092,0.0,1,1,1,1
PROD3,Proline dehydrogenase (q8),Amino acid biosynthesis,b1014,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1014,0.0,1,1,1,1
PROt4pp,Na+/Proline-L symporter (periplasm),Transport / Ion channels,b1015,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1015,0.0036,1,1,1,1
PSCLYSt2pp,Psicoselysine transport via proton symport (periplasm),Transport / Ion channels,b3370,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3370,0.0,1,1,1,1
PSURIK,Pseudouridine kinase,Nucleotide metabolism,b2166,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2166,0.0,1,1,1,1
PUNP1,Purine-nucleoside phosphorylase (Adenosine),Nucleotide metabolism,b4384,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4384,-0.00047,1,1,1,1
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),Nucleotide metabolism,b4384,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4384,0.0,1,1,1,1
PUNP7,Purine-nucleoside phosphorylase (Xanthosine),Nucleotide metabolism,b2407,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2407,0.0,1,1,1,1
R15BPK,"Ribose-1,5-bisphosphokinase",Other metabolism,b4094,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4094,0.64571,1,1,1,1
RBK,Ribokinase,Other metabolism,b3752,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3752,0.0,1,1,1,1
RBK_L1,L-ribulokinase (L-ribulose),Other metabolism,b0063,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0063,0.0,1,1,1,1
RMI,L-rhamnose isomerase,Sugar catabolism,b3903,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3903,0.0,1,1,1,1
RMK,Rhamnulokinase,Other metabolism,b3904,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3904,0.0,1,1,1,1
RMNtpp,L-rhamnose transport via proton symport (periplasm),Transport / Ion channels,b3907,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3907,0.0,1,1,1,1
RMPA,Rhamnulose-1-phosphate aldolase,Inorganic ion metabolism,b3902,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b3902,0.0,1,1,1,1
RPNTPH,RPnTP hydrolase,Other metabolism,b4095,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4095,0.0,1,1,1,1
RU5PP,Ribulose-5-Phosphate Phosphatase,Inorganic ion metabolism,b2293,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2293,0.0,1,1,1,1
SADH,Succinylarginine dihydrolase,Amino acid biosynthesis,b1745,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1745,0.0,1,1,1,1
SBTPD,Sorbitol-6-phosphate dehydrogenase,Sugar catabolism,b2705,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2705,0.0,1,1,1,1
SERD_D,D-serine deaminase,Amino acid biosynthesis,b2366,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2366,0.0,1,1,1,1
SERtpp,L-serine export via facilitated transport,Transport / Ion channels,b1533,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1533,0.0,1,1,1,1
SGDS,Succinylglutamate desuccinylase,Other metabolism,b1744,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1744,0.0,1,1,1,1
SGSAD,Succinylglutamic semialdehyde dehydrogenase,Other metabolism,b1746,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1746,0.0,1,1,1,1
