reaction_id,reaction_name,subsystem,gpr,off_in_n,conditions,off_genes,wt_flux,aerobic_glucose,anaerobic_glucose,aerobic_glucose_acetate,aerobic_glucose_lactose
ABUTD,Aminobutyraldehyde dehydrogenase,Other metabolism,b1444,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1444,0.0,1,1,1,1
ACACt2pp,Acetoacetate transport via proton symport  (periplasm),Transport / Ion channels,b2223,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2223,0.0,1,1,1,1
ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,Inorganic ion metabolism,b1993,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1993,0.0,1,1,1,1
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,Inorganic ion metabolism,b2428,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2428,0.0,1,1,1,1
ACONMT,Trans-aconitate methyltransferase,Other metabolism,b1519,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1519,0.0,1,1,1,1
ACOXT,Acetyl-CoA:oxalate CoA-transferase,Glyoxylate / Acetate,b2371,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2371,0.0,1,1,1,1
ACP1p,Acid phosphatase (FMN),Other metabolism,b0383,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0383,0.0,1,1,1,1
ACt4pp,Na+/Acetate symport (periplasm),Transport / Ion channels,b4067,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b4067,0.0,1,1,1,1
ADA,Adenosine deaminase,Amino acid catabolism,b1623,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1623,0.0,1,1,1,1
ADNt2pp_copy2,Adenosine transport in via proton symport (periplasm),Transport / Ion channels,b2406,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b2406,0.0,1,1,1,1
ADOCBIK,Adenosyl cobinamide kinase,Other metabolism,b1993,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1993,0.0,1,1,1,1
ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,Cofactor biosynthesis,b1992,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1992,0.0,1,1,1,1
AGDC,N-acetylglucosamine-6-phosphate deacetylase,Inorganic ion metabolism,b0677,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b0677,0.0,1,1,1,1
AI2K,Autoinducer-2 kinase,Other metabolism,b1511,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1511,0.00031,1,1,1,1
ALAGLUE,L-alanyl-gamma-glutamate epimerase,Other metabolism,b1325,4,aerobic_glucose; aerobic_glucose_acetate; aerobic_glucose_lactose; anaerobic_glucose,b1325,0.0,1,1,1,1
