substrate,ko_gene1,ko_gene2,ko_gene3,ko_type,ko_reaction,rescue_reaction,rescue_rxn_name,match_key,match_type,rescue_source,rescue_layer,rescue_gene_rule,rescued_biomass,wt_biomass,pct_rescue,n_rescue_variants,n_ko_reactions
D-Malic Acid,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.36974,0.3697,100.0,9,1
D-Mannitol,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.8191,0.8191,100.0,4,1
D-Mannitol,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.8191,0.8191,100.0,1,1
D-Mannitol,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.8191,0.8191,100.0,3,1
D-Mannitol,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.8191,0.8191,100.0,4,1
D-Mannitol,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.8191,0.8191,100.0,4,1
D-Mannitol,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.8191,0.8191,100.0,4,1
D-Mannitol,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.8191,0.8191,100.0,2,1
D-Mannitol,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.8191,0.8191,100.0,9,1
D-Mannitol,b2702,b2934,b3599,triple,MNLptspp,MNLpts,Mannitol transport via PEP:Pyr PTS,mnx:MNXR101677,mnx,iJR904,2,b2415 and b2416 and b3599,0.8191,0.8191,100.0,1,1
D-Mannitol,b2703,b2933,b3599,triple,MNLptspp,MNLpts,Mannitol transport via PEP:Pyr PTS,mnx:MNXR101677,mnx,iJR904,2,b2415 and b2416 and b3599,0.8191,0.8191,100.0,1,1
D-Mannitol,b2704,b2933,b3599,triple,MNLptspp,MNLpts,Mannitol transport via PEP:Pyr PTS,mnx:MNXR101677,mnx,iJR904,2,b2415 and b2416 and b3599,0.8191,0.8191,100.0,1,1
D-Mannose,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.80914,0.8091,100.0,4,1
D-Mannose,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.80914,0.8091,100.0,1,1
D-Mannose,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.80914,0.8091,100.0,3,1
D-Mannose,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.80914,0.8091,100.0,4,1
D-Mannose,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.80914,0.8091,100.0,4,1
D-Mannose,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.80914,0.8091,100.0,4,1
D-Mannose,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.80914,0.8091,100.0,2,1
D-Mannose,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.80914,0.8091,100.0,9,1
D-Melibiose,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.08608,1.0861,100.0,4,1
D-Melibiose,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,1.08608,1.0861,100.0,1,1
D-Melibiose,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.08608,1.0861,100.0,3,1
D-Melibiose,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,1.08608,1.0861,100.0,4,1
D-Melibiose,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,1.08608,1.0861,100.0,4,1
D-Melibiose,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,1.08608,1.0861,100.0,4,1
D-Melibiose,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,1.08608,1.0861,100.0,2,1
D-Melibiose,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.08608,1.0861,100.0,9,1
D-Ribose,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.66979,0.6698,100.0,4,1
D-Ribose,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.66979,0.6698,100.0,1,1
D-Ribose,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.66979,0.6698,100.0,3,1
D-Ribose,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.66979,0.6698,100.0,4,1
D-Ribose,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.66979,0.6698,100.0,4,1
D-Ribose,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.66979,0.6698,100.0,4,1
D-Ribose,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.66979,0.6698,100.0,2,1
D-Ribose,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.66979,0.6698,100.0,9,1
D-Ribose,b3748,b4088,b4230,triple,RIBabcpp,ARBabc; ARBabcpp; ATPPHm; ATPS; GALabc; GALabcpp; GLCabc; GLCabcpp; NTP1; RIBabc,"L-arabinose transport via ABC system (periplasm); D-galactose transport via ABC system (periplasm); D-glucose transport via ABC system (periplasm); Nucleoside-triphosphatase (ATP); L-arabinose transport via ABC system; D-galactose transport via ABC system; D-ribose transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic; D-glucose transport via ABC system",ec:3.6.3.17,ec,iJR904; iML1515; universal_model,1,b4460 and b1901 and b1900,0.66979,0.6698,100.0,10,1
D-Ribose,b3749,b4088,b4230,triple,RIBabcpp,ARBabc; ARBabcpp; ATPPHm; ATPS; GALabc; GALabcpp; GLCabc; GLCabcpp; NTP1; RIBabc,"L-arabinose transport via ABC system (periplasm); D-galactose transport via ABC system (periplasm); D-glucose transport via ABC system (periplasm); Nucleoside-triphosphatase (ATP); L-arabinose transport via ABC system; D-galactose transport via ABC system; D-ribose transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic; D-glucose transport via ABC system",ec:3.6.3.17,ec,iJR904; iML1515; universal_model,1,b4460 and b1901 and b1900,0.66979,0.6698,100.0,10,1
D-Ribose,b3750,b4088,b4230,triple,RIBabcpp,ARBabc; ARBabcpp; ATPPHm; ATPS; GALabc; GALabcpp; GLCabc; GLCabcpp; NTP1; RIBabc,"L-arabinose transport via ABC system (periplasm); D-galactose transport via ABC system (periplasm); D-glucose transport via ABC system (periplasm); Nucleoside-triphosphatase (ATP); L-arabinose transport via ABC system; D-galactose transport via ABC system; D-ribose transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic; D-glucose transport via ABC system",ec:3.6.3.17,ec,iJR904; iML1515; universal_model,1,b4460 and b1901 and b1900,0.66979,0.6698,100.0,10,1
D-Ribose,b3751,b4086,b4231,triple,RIBabcpp,ARBabc; ARBabcpp; ATPPHm; ATPS; GALabc; GALabcpp; GLCabc; GLCabcpp; NTP1; RIBabc,"L-arabinose transport via ABC system (periplasm); D-galactose transport via ABC system (periplasm); D-glucose transport via ABC system (periplasm); Nucleoside-triphosphatase (ATP); L-arabinose transport via ABC system; D-galactose transport via ABC system; D-ribose transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic; D-glucose transport via ABC system",ec:3.6.3.17,ec,iJR904; iML1515; universal_model,1,b4460 and b1901 and b1900,0.66979,0.6698,100.0,10,1
D-Saccharic Acid,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.60246,0.6025,100.0,4,1
D-Saccharic Acid,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.60246,0.6025,100.0,1,1
D-Saccharic Acid,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.60246,0.6025,100.0,3,1
D-Saccharic Acid,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.60246,0.6025,100.0,4,1
D-Saccharic Acid,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.60246,0.6025,100.0,4,1
D-Saccharic Acid,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.60246,0.6025,100.0,4,1
D-Saccharic Acid,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.60246,0.6025,100.0,2,1
D-Saccharic Acid,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.60246,0.6025,100.0,9,1
D-Serine,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.30869,0.3087,100.0,4,1
D-Serine,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.30869,0.3087,100.0,1,1
D-Serine,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.30869,0.3087,100.0,3,1
D-Serine,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.30869,0.3087,100.0,4,1
D-Serine,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.30869,0.3087,100.0,4,1
D-Serine,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.30869,0.3087,100.0,4,1
D-Serine,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.30869,0.3087,100.0,2,1
D-Serine,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.30869,0.3087,100.0,9,1
D-Sorbitol,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.8191,0.8191,100.0,4,1
D-Sorbitol,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.8191,0.8191,100.0,1,1
D-Sorbitol,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.8191,0.8191,100.0,3,1
D-Sorbitol,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.8191,0.8191,100.0,4,1
D-Sorbitol,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.8191,0.8191,100.0,4,1
D-Sorbitol,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.8191,0.8191,100.0,4,1
D-Sorbitol,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,0.8191,0.8191,100.0,2,1
D-Sorbitol,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.8191,0.8191,100.0,9,1
D-Trehalose,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.1071,100.0,4,1
D-Trehalose,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,1.10711,1.1071,100.0,1,1
D-Trehalose,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.1071,100.0,3,1
D-Trehalose,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,1.10711,1.1071,100.0,4,1
D-Trehalose,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,1.10711,1.1071,100.0,4,1
D-Trehalose,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,1.10711,1.1071,100.0,4,1
D-Trehalose,b0841,b1278,b3057,triple,UDCPDP,UDCPDPex; UDCPDPpp,Undecaprenyl-diphosphatase (periplasm),mnx:MNXR105042,mnx,iML1515; universal_model,1,b1278 or b3057 or b0841,1.10711,1.1071,100.0,2,1
D-Trehalose,b2502,b2744,b4226,triple,PPA,IDPh; IDPm; MNXR4373; PPA_1; PPA_1pp; PPAer; PPAm; PPAn; r0009,"rhea:24576; Inorganic diphosphatase; Inorganic diphosphatase (one proton translocation) (periplasm); Inorganic diphosphatase, endoplasmic reticulum; Inorganic diphosphatase, nuclear; Pyrophosphate energized proton pump; Inorganic pyrophosphatase; Pyrophosphate phosphohydrolase EC:3.6.1.1",ec:3.6.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,1.10711,1.1071,100.0,9,1
D-Xylose,b0475,b1019,b2431,triple,FCLT,FCLT_1; FCLT_2; FCLTm; MNXR70157,rhea:22584; Ferrochelatase  mitochondrial; Ferrochelatase; Heme B synthesis reaction,ec:4.99.1.1,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.71116,0.7112,100.0,4,1
D-Xylose,b0754,b1704,b2601,triple,DDPA,DDPA_1,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,bigg:DDPA,bigg,universal_model,2,,0.71116,0.7112,100.0,1,1
D-Xylose,b0754,b1704,b2601,triple,DDPA,DDPAm; DPHS; MNXR1486,rhea:14717; 2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial; 3-deoxy-7-phosphoheptulonate synthase,ec:2.5.1.54,ec,metanetx_universal_model_bigg_rhea_kegg_brenda; universal_model,2,,0.71116,0.7112,100.0,3,1
D-Xylose,b0763,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.71116,0.7112,100.0,4,1
D-Xylose,b0764,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.71116,0.7112,100.0,4,1
D-Xylose,b0765,b2425,b3917,triple,MOBDabcpp,ATPPHm; ATPS; MOBDabc; NTP1,"Nucleoside-triphosphatase (ATP); Molybdate transport via ABC system; ATP phosphohydrolase, mitochondria; ATPase  cytosolic",ec:3.6.3.29,ec,iML1515; universal_model,1,b0650 or b4161,0.71116,0.7112,100.0,4,1
